10
40	0
6441.7000	0.9765	0.9726
6441.8500	0.9770	0.9730
40	0.5
6436.0000	0.9688	0.9641
6436.1500	0.9693	0.9654
6436.3000	0.9704	0.9662
6436.4500	0.9727	0.9682
6436.6000	0.9722	0.9677
6436.7500	0.9712	0.9667
6436.9000	0.9700	0.9654
6437.0500	0.9677	0.9628
6437.2000	0.9644	0.9600
6437.3500	0.9592	0.9551
6437.5000	0.9508	0.9473
6437.6500	0.9358	0.9348
6437.8000	0.9138	0.9111
6437.9500	0.8903	0.8840
6438.1000	0.8634	0.8561
6438.2500	0.8345	0.8271
6438.4000	0.8050	0.7974
6438.5500	0.7785	0.7717
6438.7000	0.7601	0.7533
6438.8500	0.7487	0.7416
6439.0000	0.7432	0.7350
6439.1500	0.7428	0.7325
6439.3000	0.7473	0.7372
6439.4500	0.7569	0.7452
6439.6000	0.7705	0.7598
6439.7500	0.7889	0.7782
6439.9000	0.8119	0.8036
6440.0500	0.8391	0.8328
6440.2000	0.8694	0.8657
6440.3500	0.8997	0.8983
6440.5000	0.9289	0.9280
6440.6500	0.9478	0.9444
6440.8000	0.9586	0.9549
6440.9500	0.9651	0.9608
6441.1000	0.9693	0.9645
6441.2500	0.9720	0.9680
6441.4000	0.9736	0.9691
6441.5500	0.9746	0.9706
6441.7000	0.9753	0.9714
6441.8500	0.9759	0.9722
40	0.6
6436.0000	0.9661	0.9621
6436.1500	0.9649	0.9613
6436.3000	0.9660	0.9626
6436.4500	0.9682	0.9666
6436.6000	0.9675	0.9636
6436.7500	0.9662	0.9637
6436.9000	0.9646	0.9596
6437.0500	0.9621	0.9588
6437.2000	0.9583	0.9548
6437.3500	0.9525	0.9494
6437.5000	0.9432	0.9411
6437.6500	0.9277	0.9280
6437.8000	0.9050	0.9044
6437.9500	0.8851	0.8771
6438.1000	0.8667	0.8551
6438.2500	0.8462	0.8345
6438.4000	0.8211	0.8097
6438.5500	0.7933	0.7834
6438.7000	0.7644	0.7553
6438.8500	0.7426	0.7359
6439.0000	0.7318	0.7247
6439.1500	0.7299	0.7227
6439.3000	0.7337	0.7264
6439.4500	0.7449	0.7355
6439.6000	0.7579	0.7506
6439.7500	0.7768	0.7701
6439.9000	0.8016	0.7937
6440.0500	0.8308	0.8243
6440.2000	0.8615	0.8580
6440.3500	0.8935	0.8932
6440.5000	0.9240	0.9227
6440.6500	0.9427	0.9398
6440.8000	0.9539	0.9506
6440.9500	0.9610	0.9556
6441.1000	0.9656	0.9624
6441.2500	0.9684	0.9637
6441.4000	0.9699	0.9668
6441.5500	0.9709	0.9670
6441.7000	0.9722	0.9691
6441.8500	0.9736	0.9694
40	0.7
6436.0000	0.9658	0.9618
6436.1500	0.9664	0.9627
6436.3000	0.9668	0.9629
6436.4500	0.9676	0.9637
6436.6000	0.9653	0.9623
6436.7500	0.9632	0.9607
6436.9000	0.9616	0.9586
6437.0500	0.9587	0.9545
6437.2000	0.9547	0.9516
6437.3500	0.9478	0.9457
6437.5000	0.9367	0.9357
6437.6500	0.9171	0.9202
6437.8000	0.8875	0.8913
6437.9500	0.8561	0.8562
6438.1000	0.8284	0.8249
6438.2500	0.8085	0.8023
6438.4000	0.7998	0.7903
6438.5500	0.7947	0.7829
6438.7000	0.7882	0.7744
6438.8500	0.7787	0.7620
6439.0000	0.7656	0.7484
6439.1500	0.7513	0.7369
6439.3000	0.7389	0.7300
6439.4500	0.7382	0.7329
6439.6000	0.7479	0.7447
6439.7500	0.7652	0.7600
6439.9000	0.7898	0.7850
6440.0500	0.8194	0.8155
6440.2000	0.8528	0.8506
6440.3500	0.8873	0.8869
6440.5000	0.9194	0.9187
6440.6500	0.9397	0.9370
6440.8000	0.9507	0.9465
6440.9500	0.9576	0.9538
6441.1000	0.9622	0.9581
6441.2500	0.9651	0.9613
6441.4000	0.9667	0.9636
